OBS,DX_CD,DX_DSC
277,C052,Malignant neoplasm of uvula
278,C058,Malignant neoplasm of overlapping sites of palate
279,C059,"Malignant neoplasm of palate, unspecified"
280,C060,Malignant neoplasm of cheek mucosa
281,C061,Malignant neoplasm of vestibule of mouth
282,C062,Malignant neoplasm of retromolar area
283,C0680,Malignant neoplasm of overlapping sites of unspecified parts of mouth
284,C0689,Malignant neoplasm of overlapping sites of other parts of mouth
285,C069,"Malignant neoplasm of mouth, unspecified"
286,C07,Malignant neoplasm of parotid gland
287,C080,Malignant neoplasm of submandibular gland
288,C081,Malignant neoplasm of sublingual gland
289,C089,"Malignant neoplasm of major salivary gland, unspecified"
290,C090,Malignant neoplasm of tonsillar fossa
291,C091,Malignant neoplasm of tonsillar pillar (anterior) (posterior)
292,C098,Malignant neoplasm of overlapping sites of tonsil
293,C099,"Malignant neoplasm of tonsil, unspecified"
294,C100,Malignant neoplasm of vallecula
295,C101,Malignant neoplasm of anterior surface of epiglottis
296,C102,Malignant neoplasm of lateral wall of oropharynx
297,C103,Malignant neoplasm of posterior wall of oropharynx
298,C104,Malignant neoplasm of branchial cleft
299,C108,Malignant neoplasm of overlapping sites of oropharynx
300,C109,"Malignant neoplasm of oropharynx, unspecified"
301,C110,Malignant neoplasm of superior wall of nasopharynx
302,C111,Malignant neoplasm of posterior wall of nasopharynx
303,C112,Malignant neoplasm of lateral wall of nasopharynx
304,C113,Malignant neoplasm of anterior wall of nasopharynx
305,C118,Malignant neoplasm of overlapping sites of nasopharynx
306,C119,"Malignant neoplasm of nasopharynx, unspecified"
307,C12,Malignant neoplasm of pyriform sinus
308,C130,Malignant neoplasm of postcricoid region
309,C131,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect"
310,C132,Malignant neoplasm of posterior wall of hypopharynx
311,C138,Malignant neoplasm of overlapping sites of hypopharynx
312,C139,"Malignant neoplasm of hypopharynx, unspecified"
313,C140,"Malignant neoplasm of pharynx, unspecified"
314,C142,Malignant neoplasm of Waldeyer's ring
315,C148,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx"
316,C153,Malignant neoplasm of upper third of esophagus
317,C154,Malignant neoplasm of middle third of esophagus
318,C155,Malignant neoplasm of lower third of esophagus
319,C158,Malignant neoplasm of overlapping sites of esophagus
320,C159,"Malignant neoplasm of esophagus, unspecified"
321,C160,Malignant neoplasm of cardia
322,C161,Malignant neoplasm of fundus of stomach
323,C162,Malignant neoplasm of body of stomach
324,C163,Malignant neoplasm of pyloric antrum
